2024-08-19 10:48:07,440 INFO    StreamThr :1544672 [internal.py:wandb_internal():86] W&B internal server running at pid: 1544672, started at: 2024-08-19 10:48:07.439193
2024-08-19 10:48:07,444 DEBUG   HandlerThread:1544672 [handler.py:handle_request():146] handle_request: status
2024-08-19 10:48:07,450 INFO    WriterThread:1544672 [datastore.py:open_for_write():87] open: /home/stud/zhoy/MasterThesis_zhoy/wandb/run-20240819_104807-2ebhzfim/run-2ebhzfim.wandb
2024-08-19 10:48:07,451 DEBUG   SenderThread:1544672 [sender.py:send():379] send: header
2024-08-19 10:48:07,519 DEBUG   SenderThread:1544672 [sender.py:send():379] send: run
2024-08-19 10:48:07,855 INFO    SenderThread:1544672 [dir_watcher.py:__init__():211] watching files in: /home/stud/zhoy/MasterThesis_zhoy/wandb/run-20240819_104807-2ebhzfim/files
2024-08-19 10:48:07,855 INFO    SenderThread:1544672 [sender.py:_start_run_threads():1124] run started: 2ebhzfim with start time 1724057287.440133
2024-08-19 10:48:07,860 DEBUG   HandlerThread:1544672 [handler.py:handle_request():146] handle_request: check_version
2024-08-19 10:48:07,861 DEBUG   SenderThread:1544672 [sender.py:send_request():406] send_request: check_version
2024-08-19 10:48:07,921 DEBUG   HandlerThread:1544672 [handler.py:handle_request():146] handle_request: run_start
2024-08-19 10:48:07,947 DEBUG   HandlerThread:1544672 [system_info.py:__init__():26] System info init
2024-08-19 10:48:07,947 DEBUG   HandlerThread:1544672 [system_info.py:__init__():41] System info init done
2024-08-19 10:48:07,947 INFO    HandlerThread:1544672 [system_monitor.py:start():194] Starting system monitor
2024-08-19 10:48:07,947 INFO    SystemMonitor:1544672 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-08-19 10:48:07,948 INFO    HandlerThread:1544672 [system_monitor.py:probe():214] Collecting system info
2024-08-19 10:48:07,948 INFO    SystemMonitor:1544672 [interfaces.py:start():190] Started cpu monitoring
2024-08-19 10:48:07,949 INFO    SystemMonitor:1544672 [interfaces.py:start():190] Started disk monitoring
2024-08-19 10:48:07,949 INFO    SystemMonitor:1544672 [interfaces.py:start():190] Started gpu monitoring
2024-08-19 10:48:07,950 INFO    SystemMonitor:1544672 [interfaces.py:start():190] Started memory monitoring
2024-08-19 10:48:07,950 INFO    SystemMonitor:1544672 [interfaces.py:start():190] Started network monitoring
2024-08-19 10:48:07,989 DEBUG   HandlerThread:1544672 [system_info.py:probe():150] Probing system
2024-08-19 10:48:07,994 DEBUG   HandlerThread:1544672 [system_info.py:_probe_git():135] Probing git
2024-08-19 10:48:08,007 DEBUG   HandlerThread:1544672 [system_info.py:_probe_git():143] Probing git done
2024-08-19 10:48:08,007 DEBUG   HandlerThread:1544672 [system_info.py:probe():198] Probing system done
